SETTLEMENT_DATE,NATURAL_GAS_PRICE
2023-01-13,55.287
2023-01-14,54.769
2023-01-15,56.585
2023-01-16,52.956
2023-01-17,51.855000000000004
2023-01-18,53.02100000000001
2023-01-19,53.267
2023-01-20,54.732
2023-01-21,56.976000000000006
2023-01-22,61.565000000000005
2023-01-23,58.806000000000004
2023-01-24,51.437000000000005
2023-01-25,51.564
2023-01-26,49.906
2023-01-27,51.437000000000005
2023-01-28,48.627
2023-01-29,46.852000000000004
2023-01-30,48.194
2023-01-31,50.169
2023-02-01,52.649
2023-02-02,50.37200000000001
2023-02-03,51.112
2023-02-04,53.017
2023-02-05,55.399
2023-02-06,53.470000000000006
2023-02-07,49.653000000000006
2023-02-08,47.297000000000004
2023-02-09,46.50299999999999
2023-02-10,48.045
2023-02-11,46.578
2023-02-12,45.557
2023-02-13,44.833
2023-02-14,45.648999999999994
2023-02-15,46.714000000000006
2023-02-16,44.046
2023-02-17,41.138
2023-02-18,40.518
2023-02-19,40.283
2023-02-20,41.07599999999999
2023-02-21,43.461999999999996
2023-02-22,42.26200000000001
2023-02-23,44.584
2023-02-24,45.793
2023-02-25,44.448
2023-02-26,44.524
2023-02-27,42.583000000000006
2023-02-28,41.440000000000005
2023-03-01,42.507999999999996
2023-03-02,43.259
2023-03-03,42.214999999999996
2023-03-04,43.246
2023-03-05,43.304
2023-03-06,40.239000000000004
2023-03-07,41.449999999999996
2023-03-08,40.815999999999995
2023-03-09,40.004999999999995
2023-03-10,44.084
2023-03-11,45.827
2023-03-12,43.641
2023-03-13,42.586000000000006
2023-03-14,39.126
2023-03-15,38.679
2023-03-16,36.698
2023-03-17,35.555
2023-03-18,35.183
2023-03-19,35.349
2023-03-20,33.641999999999996
2023-03-21,32.671
2023-03-22,32.357000000000006
2023-03-23,34.552
2023-03-24,35.515
2023-03-25,36.028
2023-03-26,36.81
2023-03-27,34.372
2023-03-28,36.083
2023-03-29,35.781
2023-03-30,35.198
2023-03-31,38.72
2023-04-01,39.538999999999994
2023-04-02,39.330999999999996
2023-04-03,40.32600000000001
2023-04-04,38.605000000000004
2023-04-05,38.523999999999994
2023-04-06,34.216
2023-04-07,34.842
2023-04-08,34.248
2023-04-09,34.209
2023-04-10,32.771
2023-04-11,34.141
2023-04-12,35.13
2023-04-13,34.194
2023-04-14,34.185
2023-04-15,33.345
2023-04-16,34.262
2023-04-17,34.138000000000005
2023-04-18,34.168
2023-04-19,31.113000000000003
2023-04-20,32.708
